student_id,age,sex,address,famsize,Pstatus,Medu,Fedu,studytime,failures,schoolsup,famsup,paid,activities,internet,romantic,famrel,freetime,goout,health,absences,teacher_id,school_id,math_score
81,19,F,U,GT3,T,2,3,3,0,yes,no,yes,no,yes,no,5,5,2,4,7,35,8,20.0
82,15,M,U,GT3,T,3,2,3,0,yes,yes,no,yes,yes,no,4,4,3,4,2,20,3,20.0
83,19,M,U,GT3,T,1,3,4,0,no,no,no,yes,yes,no,3,5,3,5,4,23,8,20.0
84,19,M,U,GT3,T,3,1,3,0,no,yes,no,yes,no,no,1,3,5,3,6,42,4,20.0
85,15,M,U,GT3,T,0,1,3,0,no,yes,no,yes,yes,yes,5,5,1,4,3,35,4,20.0
86,15,M,U,GT3,T,0,3,2,0,yes,yes,no,no,yes,yes,4,3,4,5,7,47,7,20.0
87,15,F,R,GT3,T,3,2,1,3,no,yes,yes,no,yes,no,3,1,3,3,6,46,5,14.35
88,15,F,U,GT3,T,3,0,2,0,no,yes,no,no,yes,no,2,5,3,4,3,23,4,16.61
89,18,F,U,GT3,T,4,3,2,1,yes,yes,no,yes,yes,no,5,5,5,4,1,4,7,20.0
90,17,F,U,GT3,A,3,3,3,0,no,no,yes,yes,yes,yes,5,4,2,5,2,10,3,20.0
91,17,M,R,GT3,T,4,2,2,0,no,no,yes,yes,yes,no,5,3,1,4,4,43,9,20.0
92,15,M,U,GT3,T,0,4,3,3,no,yes,no,no,yes,yes,4,3,4,4,4,11,5,20.0
93,17,M,R,GT3,T,0,3,2,0,no,yes,no,no,no,no,4,4,3,5,5,40,3,18.74
94,17,M,U,GT3,T,0,4,2,0,yes,yes,no,yes,yes,yes,3,5,1,3,4,9,2,20.0
95,15,F,U,GT3,T,1,1,1,1,no,no,no,yes,yes,yes,1,2,3,5,4,40,7,14.99
96,17,M,U,LE3,A,3,3,2,0,yes,no,no,yes,no,yes,5,5,3,5,2,12,7,20.0
97,19,M,U,GT3,A,3,4,3,1,no,yes,no,no,yes,yes,2,3,4,5,6,17,5,20.0
98,16,F,U,LE3,T,0,3,3,0,no,no,no,no,no,no,4,5,2,5,1,32,4,20.0
99,16,F,U,GT3,A,4,3,4,0,no,yes,yes,no,no,yes,4,5,3,4,1,23,2,20.0
100,15,F,R,GT3,A,3,2,2,0,no,yes,no,yes,yes,yes,4,3,3,5,7,15,2,20.0
101,18,F,U,LE3,T,2,0,2,0,no,yes,no,no,yes,no,5,3,3,4,3,28,7,20.0
102,15,M,U,LE3,T,0,2,2,2,no,yes,no,no,yes,no,1,5,5,4,3,38,10,17.51
103,18,M,U,GT3,T,1,2,2,1,no,yes,no,yes,yes,yes,5,4,1,3,1,5,7,20.0
104,16,F,R,GT3,T,1,4,3,0,no,yes,no,no,yes,yes,2,4,5,5,2,40,4,20.0
105,15,M,U,GT3,T,1,1,3,0,no,no,yes,yes,yes,no,1,4,4,4,1,18,4,20.0
106,19,M,U,LE3,T,3,4,3,1,no,yes,yes,yes,yes,no,4,3,4,5,1,21,4,20.0
107,17,M,U,GT3,A,1,4,2,0,no,yes,yes,no,yes,no,2,5,3,2,2,15,2,20.0
108,18,F,R,GT3,T,2,1,3,0,no,yes,yes,yes,yes,no,5,3,3,5,3,3,9,20.0
109,17,M,U,GT3,T,4,2,1,0,no,yes,no,no,no,yes,4,5,5,5,2,46,1,20.0
110,17,F,U,GT3,T,3,4,3,0,yes,yes,yes,no,yes,yes,1,3,5,4,7,26,8,20.0
111,15,M,R,GT3,A,4,4,2,1,yes,yes,yes,yes,yes,no,1,4,2,3,4,15,6,20.0
112,17,M,R,LE3,A,1,2,2,3,yes,yes,no,no,yes,no,4,3,2,4,4,45,10,16.8
113,19,M,U,GT3,T,2,2,2,0,no,yes,no,no,no,yes,5,3,3,2,3,20,7,20.0
114,17,F,R,GT3,T,3,3,4,0,no,yes,yes,yes,no,no,4,3,5,4,4,21,5,20.0
115,15,M,U,GT3,T,0,3,1,0,no,yes,no,yes,yes,yes,4,4,3,3,4,26,6,18.89
116,19,F,U,LE3,T,0,2,2,0,no,no,no,yes,no,yes,5,4,4,3,7,41,6,20.0
117,16,F,U,GT3,T,3,3,3,0,no,no,yes,yes,yes,yes,4,5,4,3,4,23,9,20.0
118,17,F,U,LE3,T,3,0,2,1,no,yes,yes,yes,no,yes,3,3,4,3,4,49,10,16.06
119,15,M,U,GT3,T,2,0,1,0,yes,yes,no,yes,yes,no,4,4,4,2,1,25,4,20.0
120,16,M,R,GT3,T,2,2,2,0,yes,yes,no,yes,yes,no,4,4,3,5,1,4,5,20.0
121,16,M,U,GT3,T,2,2,2,0,no,yes,no,no,yes,yes,4,3,5,4,1,10,4,20.0
122,18,M,U,LE3,T,0,2,4,0,no,yes,yes,yes,yes,no,4,3,4,4,5,22,1,20.0
123,19,F,U,LE3,T,2,2,3,0,no,yes,no,no,yes,no,5,4,4,4,6,3,10,20.0
124,17,F,R,GT3,T,1,2,2,1,yes,yes,no,no,yes,no,3,3,3,4,3,19,6,19.94
125,15,F,U,LE3,T,0,1,4,0,no,no,yes,no,no,no,5,3,4,5,6,31,5,20.0
126,18,M,U,LE3,T,4,2,2,1,yes,yes,no,yes,yes,yes,4,4,3,3,7,9,4,20.0
127,19,F,U,GT3,T,3,4,1,0,yes,yes,no,no,yes,no,4,3,2,3,2,29,6,20.0
128,18,M,U,GT3,T,3,2,2,0,yes,yes,yes,no,yes,no,2,4,4,5,3,37,5,20.0
129,19,F,R,LE3,T,2,2,2,0,yes,no,no,no,yes,no,4,5,3,4,3,46,3,20.0
130,19,M,R,GT3,T,2,3,1,0,no,no,no,yes,no,no,5,4,4,1,2,7,2,20.0
131,17,M,U,LE3,T,1,4,4,0,yes,yes,yes,yes,yes,yes,4,4,3,2,2,38,6,20.0
132,19,F,R,GT3,T,0,1,3,0,no,no,no,no,yes,no,1,2,4,1,1,24,4,17.29
133,18,F,U,GT3,A,1,3,2,1,no,yes,yes,yes,yes,yes,4,5,3,5,2,8,10,20.0
134,19,F,R,GT3,T,3,3,2,1,yes,no,no,yes,yes,yes,2,3,4,3,4,34,3,20.0
135,17,F,U,GT3,T,3,3,3,0,yes,no,yes,yes,no,yes,5,4,3,5,1,26,8,20.0
136,17,M,U,GT3,A,3,0,4,0,no,yes,yes,no,yes,no,5,5,4,5,5,28,9,20.0
137,18,F,U,GT3,T,2,3,3,0,yes,no,no,no,no,yes,1,4,4,4,3,28,7,20.0
138,16,F,U,LE3,T,4,0,2,0,no,yes,no,yes,yes,no,5,4,3,1,3,46,2,20.0
139,16,F,U,GT3,T,0,3,3,0,no,yes,no,no,yes,no,5,3,3,2,3,7,8,20.0
140,19,M,U,GT3,T,2,3,2,2,yes,yes,yes,no,no,no,4,2,4,4,4,3,5,19.45
141,15,M,U,GT3,T,2,1,2,0,no,no,yes,yes,yes,yes,4,4,4,4,0,22,10,19.53
142,19,F,R,GT3,T,3,3,1,0,yes,yes,no,no,yes,no,4,1,4,4,4,38,7,20.0
143,18,M,U,GT3,A,4,0,1,0,no,yes,no,no,yes,no,4,4,4,4,6,46,5,19.64
144,18,F,U,LE3,A,1,3,2,0,no,no,yes,no,yes,no,3,1,3,5,4,44,2,20.0
145,18,M,R,GT3,T,4,2,2,1,yes,yes,no,yes,no,no,3,5,3,4,1,18,4,20.0
146,18,M,U,GT3,T,3,1,1,0,yes,yes,no,no,yes,no,4,3,3,4,3,12,5,20.0
147,18,M,U,GT3,T,1,1,3,0,no,yes,no,yes,no,no,2,4,2,5,0,31,6,20.0
148,17,M,U,GT3,A,2,4,1,1,no,yes,no,yes,yes,no,5,4,4,2,5,39,5,20.0
149,16,F,R,GT3,A,2,0,2,0,yes,yes,yes,yes,yes,yes,3,4,1,3,3,5,10,20.0
150,18,F,U,GT3,T,4,1,2,1,no,yes,no,no,yes,no,4,3,5,2,2,44,1,20.0
151,15,F,U,LE3,T,1,2,4,0,no,no,yes,no,yes,no,5,4,4,2,4,41,1,20.0
152,15,M,R,LE3,T,3,3,2,0,no,no,no,yes,no,no,4,3,5,4,4,29,3,20.0
153,15,F,R,LE3,T,2,3,1,1,yes,yes,no,yes,yes,no,4,3,5,3,6,43,9,17.89
154,15,F,U,GT3,T,3,1,2,0,no,yes,no,no,yes,yes,5,3,3,4,3,36,2,20.0
155,17,F,U,LE3,T,2,2,3,0,no,yes,no,yes,no,no,5,4,4,5,2,14,10,20.0
156,15,M,U,GT3,T,3,1,4,0,yes,no,no,no,yes,no,3,3,2,3,0,44,5,20.0
157,18,M,R,GT3,T,3,1,2,0,no,yes,no,yes,yes,no,4,5,1,4,3,18,9,20.0
158,19,M,U,GT3,T,3,2,2,1,no,yes,no,yes,no,yes,5,4,4,2,3,7,7,20.0
159,15,F,U,GT3,A,4,3,4,2,no,no,no,no,yes,no,4,3,1,3,4,23,8,20.0
160,17,F,R,LE3,T,0,1,1,3,yes,yes,no,yes,yes,no,4,4,5,4,3,33,2,11.87
161,17,F,U,GT3,T,3,2,3,1,no,yes,yes,yes,yes,yes,3,5,4,5,4,45,5,20.0
162,15,M,U,GT3,T,1,2,2,0,no,no,yes,yes,yes,yes,2,1,4,4,1,16,9,20.0
163,19,M,U,GT3,T,2,4,1,0,no,no,yes,no,yes,no,4,4,2,2,0,37,1,20.0
164,15,F,U,GT3,T,3,4,2,0,no,yes,no,no,yes,yes,5,4,4,4,3,25,1,20.0
165,17,M,U,GT3,T,2,3,2,0,no,no,no,yes,yes,no,5,3,1,2,2,9,10,20.0
166,16,M,U,GT3,T,3,1,3,0,no,yes,no,yes,yes,yes,5,5,4,3,3,28,8,20.0
167,18,M,U,GT3,T,4,0,4,2,yes,no,no,no,no,no,3,3,2,4,2,9,2,20.0
168,17,M,U,GT3,T,1,2,2,0,no,yes,no,yes,yes,no,1,3,4,2,3,12,9,20.0
169,15,F,R,GT3,T,3,2,3,0,no,no,yes,no,yes,no,5,5,2,4,3,18,10,20.0
170,18,M,U,LE3,T,2,3,1,0,yes,no,yes,yes,yes,no,3,4,1,4,0,27,9,20.0
171,15,M,R,GT3,T,1,3,2,1,no,no,no,yes,yes,no,3,5,3,4,1,26,4,20.0
172,15,M,U,LE3,T,1,4,1,1,no,no,yes,no,yes,no,5,4,2,1,2,26,2,17.57
173,16,M,R,GT3,T,4,3,4,1,yes,yes,no,yes,yes,yes,4,4,4,5,4,10,3,20.0
174,18,F,R,GT3,T,4,2,3,0,yes,yes,no,no,yes,no,3,5,2,4,3,17,10,20.0
175,18,F,U,LE3,T,4,3,3,1,yes,yes,no,yes,yes,yes,5,2,3,5,0,32,1,20.0
176,16,M,R,GT3,T,4,2,3,0,yes,no,no,yes,yes,no,5,4,4,3,5,24,3,20.0
177,17,M,R,GT3,T,1,0,3,2,no,no,no,no,yes,yes,2,4,3,4,3,43,5,13.72
178,15,M,U,GT3,T,2,3,4,0,yes,yes,yes,yes,yes,yes,5,2,3,4,2,48,3,20.0
179,19,M,U,GT3,T,3,0,3,0,no,no,no,no,yes,no,4,4,4,3,2,8,3,20.0
180,15,M,U,GT3,T,2,2,4,0,no,no,no,yes,yes,yes,4,2,2,1,2,30,10,20.0
181,15,M,R,LE3,A,2,2,2,1,yes,no,yes,no,yes,yes,5,4,1,4,1,26,6,19.3
182,17,F,R,GT3,T,2,3,1,0,no,no,yes,no,yes,no,5,4,3,5,0,24,3,20.0
183,15,M,R,LE3,T,3,3,2,2,no,yes,no,yes,yes,no,3,5,3,4,5,27,3,20.0
184,16,F,U,GT3,T,3,2,1,0,no,yes,yes,no,yes,no,3,3,3,2,5,15,9,20.0
185,16,F,R,LE3,T,1,3,2,0,yes,yes,yes,no,no,no,2,4,3,4,0,28,2,20.0
186,18,M,U,GT3,T,2,2,2,0,yes,yes,no,yes,no,yes,4,3,4,5,1,11,1,20.0
187,19,F,U,GT3,T,3,2,3,0,no,no,no,no,yes,no,1,4,1,4,2,39,10,20.0
188,15,F,U,LE3,A,3,3,1,0,no,no,yes,no,yes,yes,4,4,3,2,2,2,8,20.0
189,15,F,U,GT3,T,1,3,1,0,no,no,yes,yes,yes,no,2,4,3,5,4,9,3,16.46
190,17,F,U,GT3,T,3,4,2,1,no,no,no,yes,yes,no,4,5,4,3,2,50,7,20.0
191,16,F,U,GT3,T,0,1,4,0,yes,yes,yes,yes,yes,no,1,5,5,4,5,45,2,20.0
192,19,F,U,GT3,T,2,3,2,3,no,yes,no,yes,yes,no,5,2,3,4,3,23,8,17.58
193,18,M,U,GT3,T,3,3,2,0,yes,yes,no,no,yes,yes,3,3,5,5,2,33,9,20.0
194,16,F,U,GT3,T,3,4,3,1,yes,yes,yes,yes,yes,no,3,4,3,5,4,19,8,20.0
195,18,F,U,LE3,T,2,1,3,0,no,yes,yes,no,no,no,5,4,1,5,4,13,8,20.0
196,17,F,U,LE3,T,3,3,2,0,yes,yes,yes,yes,yes,yes,4,3,2,1,2,14,8,20.0
197,17,M,U,GT3,A,3,3,2,0,no,yes,yes,yes,yes,yes,3,4,3,5,0,32,7,20.0
198,15,F,U,GT3,A,3,2,2,0,no,yes,yes,no,yes,no,2,3,3,2,5,49,2,20.0
199,19,M,U,GT3,T,3,2,4,2,yes,no,no,no,yes,no,4,3,1,3,2,22,8,20.0
200,18,F,U,GT3,T,3,2,1,0,no,yes,yes,no,no,no,4,5,3,4,3,20,5,20.0
201,16,M,U,GT3,A,2,3,2,0,no,yes,no,yes,yes,no,5,3,3,4,0,33,6,20.0
202,17,M,U,GT3,A,1,4,1,2,no,yes,no,yes,yes,yes,4,1,2,4,5,5,4,18.24
203,15,F,U,GT3,T,2,3,2,0,yes,no,yes,yes,yes,no,3,2,3,4,3,20,1,20.0
204,15,F,R,GT3,T,2,3,3,1,no,yes,yes,no,no,no,4,5,5,5,3,14,5,20.0
205,18,M,U,GT3,T,3,3,2,0,no,yes,yes,yes,no,yes,4,5,3,3,1,27,3,20.0
206,17,F,U,GT3,T,3,0,1,1,no,no,yes,no,yes,no,5,4,4,3,6,26,9,17.03
207,19,M,U,GT3,A,2,1,2,0,yes,yes,no,no,yes,yes,1,3,4,5,2,32,4,20.0
208,17,M,U,GT3,T,0,2,1,0,no,no,yes,yes,yes,yes,4,5,3,2,4,30,10,17.67
209,18,M,U,LE3,A,2,2,1,0,yes,yes,no,no,yes,yes,1,4,2,4,3,27,2,20.0
210,18,M,U,LE3,T,2,1,3,2,no,yes,no,no,no,no,4,5,3,4,1,26,4,20.0
211,17,M,U,GT3,A,3,3,3,0,yes,yes,no,no,yes,no,5,4,4,4,3,18,3,20.0
212,18,F,U,GT3,T,0,2,4,0,no,no,no,yes,no,no,4,3,3,4,3,45,3,20.0
213,17,M,U,GT3,T,3,2,3,1,no,yes,no,yes,yes,yes,5,4,2,3,1,23,5,20.0
214,16,M,R,GT3,T,4,2,3,2,yes,yes,yes,yes,no,no,4,3,2,5,5,44,1,20.0
215,17,F,R,LE3,T,1,1,1,1,yes,yes,yes,yes,yes,no,5,3,5,2,2,47,5,17.78
216,17,M,R,GT3,T,2,4,3,3,no,yes,no,no,no,no,5,4,3,4,8,24,8,17.57
217,18,F,R,GT3,A,0,4,3,0,no,yes,yes,no,yes,no,2,5,4,2,5,4,10,20.0
218,18,F,U,GT3,T,3,3,3,0,no,no,no,yes,yes,no,3,4,3,4,3,41,9,20.0
219,15,F,U,GT3,A,3,1,2,1,no,no,no,no,yes,yes,4,4,5,4,2,3,1,18.18
220,15,M,U,GT3,A,2,3,2,1,yes,yes,no,no,yes,no,3,2,3,5,0,43,2,20.0
221,16,M,U,LE3,T,3,3,3,0,no,yes,no,yes,yes,no,4,2,3,4,2,30,2,20.0
222,15,M,R,GT3,T,4,3,3,0,no,no,no,yes,no,no,4,3,5,4,6,47,6,20.0
223,17,F,U,GT3,T,1,1,4,1,no,yes,no,no,yes,yes,5,4,4,5,4,16,1,20.0
224,18,M,R,GT3,T,0,3,1,0,no,yes,no,no,yes,yes,4,4,2,4,3,7,1,19.63
225,15,F,U,GT3,T,4,3,2,0,no,yes,no,no,yes,no,5,1,2,4,4,39,2,20.0
226,15,M,R,LE3,T,3,3,2,0,no,no,no,yes,no,yes,5,5,4,4,2,22,4,18.95
227,16,F,U,LE3,T,4,3,3,0,yes,no,no,yes,yes,yes,5,3,4,4,2,41,2,20.0
228,16,M,U,GT3,T,3,2,1,1,no,no,no,yes,yes,no,3,5,3,5,2,31,4,19.88
229,17,M,U,GT3,T,3,3,1,0,no,yes,no,no,yes,no,4,4,4,3,3,49,3,19.94
230,18,M,U,LE3,T,2,0,4,1,yes,yes,no,no,yes,no,3,2,4,4,3,13,3,20.0
231,16,F,U,LE3,A,3,3,1,0,no,no,no,yes,yes,no,4,4,3,4,5,41,9,20.0
232,15,F,U,GT3,T,4,0,3,0,no,yes,yes,no,yes,yes,4,4,4,5,5,41,8,20.0
233,18,M,R,LE3,A,3,2,2,1,no,no,no,no,yes,no,5,4,2,5,2,29,10,20.0
234,18,M,U,GT3,T,1,2,3,0,no,no,yes,no,yes,yes,4,4,5,4,0,28,9,20.0
235,15,F,U,GT3,T,2,3,2,0,no,yes,no,no,yes,no,4,2,4,4,1,44,1,20.0
236,16,F,U,GT3,T,1,1,4,0,yes,no,no,yes,yes,no,5,4,4,4,3,19,5,20.0
237,15,F,R,LE3,T,1,3,4,0,no,yes,no,no,yes,no,2,5,3,4,2,23,4,20.0
238,18,M,U,LE3,T,2,3,1,0,no,no,yes,yes,yes,yes,4,2,2,5,5,47,9,20.0
239,19,F,U,GT3,T,3,1,1,1,no,yes,no,yes,yes,no,5,3,3,5,2,50,3,20.0
240,19,M,U,GT3,T,3,1,2,1,no,yes,no,no,yes,yes,3,5,4,5,2,8,5,20.0
241,17,F,U,GT3,T,2,1,3,1,yes,no,yes,no,yes,no,4,3,4,2,5,25,8,20.0
242,15,M,U,LE3,T,3,4,3,0,no,no,yes,no,yes,no,3,4,3,5,7,38,10,20.0
243,15,F,U,GT3,T,0,3,2,0,no,yes,no,no,yes,no,5,4,4,5,4,38,5,20.0
244,17,F,U,GT3,T,0,2,3,0,no,yes,no,no,yes,yes,3,4,4,4,5,35,9,20.0
245,17,F,R,GT3,T,1,1,1,0,no,yes,yes,no,yes,no,3,3,1,4,3,26,2,17.98
246,17,F,U,GT3,T,3,3,3,0,no,yes,no,yes,yes,no,4,3,3,5,5,3,6,20.0
247,18,F,U,GT3,T,1,4,4,0,no,yes,no,no,no,yes,3,1,4,4,2,2,5,20.0
248,15,M,U,GT3,T,2,3,2,3,no,yes,no,yes,yes,no,3,4,3,5,6,5,9,16.76
249,18,F,R,LE3,A,2,3,2,0,no,yes,no,yes,yes,yes,4,4,4,4,2,20,7,20.0
250,17,F,U,GT3,T,3,0,1,0,no,yes,no,yes,yes,no,4,4,3,4,1,12,8,20.0
251,15,F,R,LE3,T,0,1,2,1,no,yes,no,no,yes,no,4,4,5,5,1,38,7,17.37
